timestamp,spot_0_iv_0,spot_0_iv_5,spot_0_iv_-5,spot_2_iv_0,spot_2_iv_5,spot_2_iv_-5,spot_-2_iv_0,spot_-2_iv_5,spot_-2_iv_-5
09:20:00.0000000000,-48928.09941,-455450.26578,-nan,-nan,-nan,-nan,-nan,-nan,-nan
09:25:00.0000000000,-71219.36970,-651047.12560,548009.47386,-47403249.03812,-46528296.18143,-48298515.14389,13084812.68163,13019449.45428,13135286.12493
09:30:00.0000000000,-62992.21148,-741652.00693,679144.07181,-32641897.97517,-31789999.83741,-33494883.15731,-14910867.27839,-14455238.58912,-15378377.52559
09:35:00.0000000000,-74461.92208,-1045002.03347,973407.88276,-45125648.65791,-44245060.11456,-46014597.30692,-26795063.24275,-26101388.69495,-27500073.40139
09:40:00.0000000000,-32205.57442,-923631.94316,932397.78264,-34378682.79432,-33699204.89363,-35060657.82650,-32377161.77014,-31616366.35442,-33146231.83708
09:45:00.0000000000,-3197.41026,-1129610.43566,1217101.51226,-46055673.52715,-45159313.97333,-46952060.70139,-40999321.31417,-40030368.90935,-41975953.79054
09:50:00.0000000000,-147433.53550,-997775.07521,762715.08285,-60426157.48483,-59436802.36000,-61421097.32760,8549909.44237,8651453.11148,8433954.18295
09:55:00.0000000000,-39050.55385,-531416.34312,493980.82147,-23769372.97448,-23357221.94703,-24178963.86144,-14410421.29366,-14055698.22070,-14765106.76250
10:00:00.0000000000,-58025.73443,-891632.46938,842217.72597,-38753526.74687,-38062809.05592,-39441523.60486,-28090809.01933,-27478687.47453,-28699564.63667
10:05:00.0000000000,-53778.94410,-1001530.67923,965950.05927,-51118473.90650,-50179722.16021,-52063164.91264,-19415415.46905,-18944377.50134,-19885201.60555
10:10:00.0000000000,-139836.68460,-1190683.71410,988691.76730,-63820350.07807,-62905592.15279,-64721331.01604,-8409584.34422,-7948521.44666,-8881393.21091
10:15:00.0000000000,-86917.08074,-1317045.83001,1236277.57279,-69048464.72932,-67890224.32379,-70204892.04241,-21663672.49927,-21048919.29602,-22280947.24716
10:20:00.0000000000,-86560.29517,-1417934.88303,1343772.94064,-72597001.83433,-71373921.84215,-73819323.79438,-24956806.84982,-24269935.69510,-25645898.20361
10:25:00.0000000000,-164660.61481,-1373194.73552,1123325.53410,-80756669.67735,-79407025.80059,-82116674.38720,-2153098.03242,-1849962.22909,-2463446.01532
10:30:00.0000000000,-115243.84689,-1500631.94742,1365062.51767,-76798272.95821,-75528052.32023,-78073912.85705,-19975466.01919,-19349526.98677,-20607755.74853
10:35:00.0000000000,-136434.07951,-1586655.73874,1413523.77268,-77406451.98428,-76179384.50830,-78630591.67356,-28475551.48913,-27685003.81905,-29271957.17711
10:40:00.0000000000,-71463.42979,-1628122.53898,1593035.10224,-80803891.52810,-79549603.73561,-82052031.64829,-33803139.48461,-32908521.75647,-34702856.84154
10:45:00.0000000000,-32038.64219,-1193073.42811,1217618.58209,-50601983.91705,-49675976.35277,-51523881.10749,-42891568.03635,-41953532.33539,-43831400.28332
10:50:00.0000000000,-36406.16359,-1278358.68864,1300622.56601,-57591354.52303,-56594841.86402,-58582999.21994,-41107889.37864,-40181768.16206,-42034266.78343
timestamp,spot_0_iv_0,spot_0_iv_5,spot_0_iv_-5,spot_2_iv_0,spot_2_iv_5,spot_2_iv_-5,spot_-2_iv_0,spot_-2_iv_5,spot_-2_iv_-5
09:20:00.0000000000,-54144.11641,-1171948.25534,-nan,-nan,-nan,-nan,-nan,-nan,-nan
09:25:00.0000000000,-60371.46967,-1682915.67309,1777677.36620,-41538879.30142,-39794997.52620,-43436589.16921,7565002.51734,7525402.65099,7494854.25815
09:30:00.0000000000,-85573.74003,-2679115.46776,2939922.24919,-41661865.44506,-39511662.69527,-43868754.02656,-13314675.90891,-12315687.59792,-14469998.82531
09:35:00.0000000000,-45500.12873,-2232207.60289,2486515.23154,-26595110.37149,-25266549.93743,-27974671.97280,-21035478.02712,-19897416.72962,-22284004.62272
09:40:00.0000000000,-34829.29068,-3214679.23043,3658532.53360,-40839372.23892,-38744444.29776,-43026598.30681,-28117492.16549,-26521130.05262,-29837883.33537
09:45:00.0000000000,581.10410,-4148045.65894,4789986.75235,-50053055.10366,-47506345.97878,-52717753.80807,-42539429.04191,-40251649.46086,-44966216.03410
09:50:00.0000000000,-149957.49801,-2841159.14404,2951668.57846,-64610363.67584,-61872626.18578,-67467973.00753,8386792.61759,8564581.25757,8073225.69993
09:55:00.0000000000,-25489.87299,-1106350.31310,1236218.32431,-15114468.49591,-14407381.94229,-15831410.48505,-8842781.27132,-8298644.14738,-9398892.20875
10:00:00.0000000000,-48104.84003,-2392905.13768,2685505.16937,-32337431.51702,-30607815.16061,-34097769.44076,-19722910.19801,-18648161.62754,-20808107.65802
10:05:00.0000000000,-75872.12045,-2558223.72134,2790423.59965,-51165081.18805,-48822186.63257,-53599687.16345,-2849250.64128,-2358478.74327,-3386528.16820
10:10:00.0000000000,-139841.99150,-3487367.06401,3736749.96503,-64075193.69378,-61457107.67113,-66663337.86126,-9069096.78154,-8050804.48707,-10211436.06382
10:15:00.0000000000,-87782.66281,-4220672.37125,4670413.65845,-73445924.61313,-70243207.80317,-76727027.24034,-19711040.48537,-18325328.52186,-21166915.10074
10:20:00.0000000000,-98918.18087,-4493825.14407,4949268.74867,-79567556.74874,-76152139.08313,-83068696.67638,-19616111.06062,-18166168.22952,-21151214.44866
10:25:00.0000000000,-174181.81027,-3995851.25299,4157896.39025,-86105152.72586,-82540624.55072,-89831405.41930,-778091.69609,-122087.71265,-1529759.03628
10:30:00.0000000000,-132152.62109,-4424402.12770,4754064.63639,-83235416.59051,-79782936.98476,-86806792.77612,-14309791.29470,-13073362.50192,-15658514.73236
